genome_id,gene1,gene2,text,label
196627,196627.14.peg.1,196627.14.peg.2,"Gene A is 1554 bp long, annotated as ""Chromosomal replication initiator protein DnaA"", and is part of the PGF_00876106 family. It is followed by Gene B, 1185 bp long, annotated as ""DNA polymerase III beta subunit (EC 2.7.7.7)"", and is part of the PGF_06473395 family. The intergenic distance is 716 base pairs. The GC content difference is 3.0%. They are on the same strand.  They are adjacent in 24.3% of representative genomes. ",0
196627,196627.14.peg.2,196627.14.peg.3,"Gene A is 1185 bp long, annotated as ""DNA polymerase III beta subunit (EC 2.7.7.7)"", and is part of the PGF_06473395 family. It is followed by Gene B, 1185 bp long, annotated as ""DNA recombination and repair protein RecF"", and is part of the PGF_10387199 family. The intergenic distance is 108 base pairs. The GC content difference is 1.0%. They are on the same strand.  They are adjacent in 14.4% of representative genomes. ",1
196627,196627.14.peg.3,196627.14.peg.4,"Gene A is 1185 bp long, annotated as ""DNA recombination and repair protein RecF"", and is part of the PGF_10387199 family. It is followed by Gene B, 537 bp long, annotated as ""Zn-ribbon-containing, possibly RNA-binding protein and truncated derivatives"", and is part of the PGF_07687979 family. The intergenic distance is -4 base pairs. The GC content difference is 1.0%. They are on the same strand.  They are adjacent in 37.7% of representative genomes. ",1
196627,196627.14.peg.4,196627.14.peg.5,"Gene A is 537 bp long, annotated as ""Zn-ribbon-containing, possibly RNA-binding protein and truncated derivatives"", and is part of the PGF_07687979 family. It is followed by Gene B, 2055 bp long, annotated as ""DNA gyrase subunit B (EC 5.99.1.3)"", and is part of the PGF_06703483 family. The intergenic distance is 132 base pairs. The GC content difference is 1.0%. They are on the same strand.  They are adjacent in 30.2% of representative genomes. ",1
196627,196627.14.peg.5,196627.14.peg.6,"Gene A is 2055 bp long, annotated as ""DNA gyrase subunit B (EC 5.99.1.3)"", and is part of the PGF_06703483 family. It is followed by Gene B, 969 bp long, annotated as ""predicted hydrolase or acyltransferase"", and is part of the PGF_01380911 family. The intergenic distance is 340 base pairs. The GC content difference is 5.0%. They are on the same strand.  They are adjacent in 28.6% of representative genomes. ",0
196627,196627.14.peg.6,196627.14.peg.7,"Gene A is 969 bp long, annotated as ""predicted hydrolase or acyltransferase"", and is part of the PGF_01380911 family. It is followed by Gene B, 582 bp long, annotated as ""putative membrane protein"", and is part of the PGF_05101181 family. The intergenic distance is -4 base pairs. The GC content difference is 2.0%. They are on the different strands.  They are adjacent in 60.0% of representative genomes. ",0
196627,196627.14.peg.7,196627.14.peg.8,"Gene A is 582 bp long, annotated as ""putative membrane protein"", and is part of the PGF_05101181 family. It is followed by Gene B, 387 bp long, annotated as ""hypothetical protein"", and is part of the PGF_01376127 family. The intergenic distance is 94 base pairs. The GC content difference is 7.0%. They are on the same strand.  They are adjacent in 60.0% of representative genomes. ",1
196627,196627.14.peg.8,196627.14.peg.9,"Gene A is 387 bp long, annotated as ""hypothetical protein"", and is part of the PGF_01376127 family. It is followed by Gene B, 921 bp long, annotated as ""Transcriptional regulator"", and is part of the PGF_01380597 family. The intergenic distance is 246 base pairs. The GC content difference is 3.0%. They are on the same strand.  They are adjacent in 57.1% of representative genomes. ",0
196627,196627.14.peg.9,196627.14.peg.10,"Gene A is 921 bp long, annotated as ""Transcriptional regulator"", and is part of the PGF_01380597 family. It is followed by Gene B, 264 bp long, annotated as ""Death on curing protein, Doc toxin"", and is part of the PGF_01380429 family. The intergenic distance is 235 base pairs. The GC content difference is 4.0%. They are on the same strand.  They are adjacent in 50.0% of representative genomes. ",0
196627,196627.14.peg.12,196627.14.peg.13,"Gene A is 2571 bp long, annotated as ""DNA gyrase subunit A (EC 5.99.1.3)"", and is part of the PGF_03272313 family. It is followed by Gene B, 345 bp long, annotated as ""FIG187021: hypothetical protein"", and is part of the PGF_00003703 family. The intergenic distance is 3 base pairs. The GC content difference is 7.0%. They are on the same strand.  They are adjacent in 37.0% of representative genomes. ",1
196627,196627.14.peg.13,196627.14.peg.14,"Gene A is 345 bp long, annotated as ""FIG187021: hypothetical protein"", and is part of the PGF_00003703 family. It is followed by Gene B, 927 bp long, annotated as ""Putative membrane protein YeiH"", and is part of the PGF_08102025 family. The intergenic distance is 456 base pairs. The GC content difference is 1.0%. They are on the different strands.  They are adjacent in 33.3% of representative genomes. ",0
196627,196627.14.peg.14,196627.14.peg.15,"Gene A is 927 bp long, annotated as ""Putative membrane protein YeiH"", and is part of the PGF_08102025 family. It is followed by Gene B, 897 bp long, annotated as ""Transcriptional regulator, LysR family"", and is part of the PGF_07987589 family. The intergenic distance is 181 base pairs. The GC content difference is 1.0%. They are on the different strands.  They are adjacent in 6.9% of representative genomes. ",0
196627,196627.14.peg.15,196627.14.peg.16,"Gene A is 897 bp long, annotated as ""Transcriptional regulator, LysR family"", and is part of the PGF_07987589 family. It is followed by Gene B, 414 bp long, annotated as ""hypothetical protein"", and is part of the PGF_01380630 family. The intergenic distance is 49 base pairs. The GC content difference is 2.0%. They are on the same strand.  They are adjacent in 100.0% of representative genomes. ",1
196627,196627.14.peg.16,196627.14.peg.17,"Gene A is 414 bp long, annotated as ""hypothetical protein"", and is part of the PGF_01380630 family. It is followed by Gene B, 873 bp long, annotated as ""putative cytochrome c biogenesis protein"", and is part of the PGF_00406642 family. The intergenic distance is 183 base pairs. The GC content difference is 3.0%. They are on the different strands.  They are adjacent in 100.0% of representative genomes. ",0
196627,196627.14.peg.17,196627.14.peg.18,"Gene A is 873 bp long, annotated as ""putative cytochrome c biogenesis protein"", and is part of the PGF_00406642 family. It is followed by Gene B, 693 bp long, annotated as ""protein-disulfide isomerase"", and is part of the PGF_01380912 family. The intergenic distance is 3 base pairs. The GC content difference is 2.0%. They are on the same strand.  They are adjacent in 100.0% of representative genomes. ",1
196627,196627.14.peg.18,196627.14.peg.19,"Gene A is 693 bp long, annotated as ""protein-disulfide isomerase"", and is part of the PGF_01380912 family. It is followed by Gene B, 372 bp long, annotated as ""Transcriptional regulator, MecI family"", and is part of the PGF_06973251 family. The intergenic distance is 279 base pairs. The GC content difference is 1.0%. They are on the different strands.  They are adjacent in 100.0% of representative genomes. ",0
196627,196627.14.peg.19,196627.14.peg.20,"Gene A is 372 bp long, annotated as ""Transcriptional regulator, MecI family"", and is part of the PGF_06973251 family. It is followed by Gene B, 996 bp long, annotated as ""Peptidase M48, Ste24p precursor"", and is part of the PGF_07173328 family. The intergenic distance is -4 base pairs. The GC content difference is 1.0%. They are on the same strand.  They are adjacent in 12.5% of representative genomes. ",1
196627,196627.14.peg.20,196627.14.peg.21,"Gene A is 996 bp long, annotated as ""Peptidase M48, Ste24p precursor"", and is part of the PGF_07173328 family. It is followed by Gene B, 183 bp long, annotated as ""hypothetical protein"", and is part of the PGF_01357500 family. The intergenic distance is 2 base pairs. The GC content difference is 6.0%. They are on the different strands.  They are adjacent in 100.0% of representative genomes. ",0
196627,196627.14.peg.29,196627.14.peg.30,"Gene A is 660 bp long, annotated as ""Zinc ABC transporter, ATP-binding protein ZnuC"", and is part of the PGF_08228852 family. It is followed by Gene B, 984 bp long, annotated as ""ABC transporter, substrate-binding protein (cluster 2, ribose/xylose/arabinose/galactose)"", and is part of the PGF_10487056 family. The intergenic distance is 42 base pairs. The GC content difference is 0.0%. They are on the same strand.  They are adjacent in 0.1% of representative genomes. ",0
196627,196627.14.peg.30,196627.14.peg.31,"Gene A is 984 bp long, annotated as ""ABC transporter, substrate-binding protein (cluster 2, ribose/xylose/arabinose/galactose)"", and is part of the PGF_10487056 family. It is followed by Gene B, 1026 bp long, annotated as ""ABC transporter, permease protein"", and is part of the PGF_00935959 family. The intergenic distance is -4 base pairs. The GC content difference is 0.0%. They are on the same strand.  They are adjacent in 56.2% of representative genomes. ",1
