genome_id,gene1,gene2,text,label
196627,196627.14.peg.1,196627.14.peg.2,"Gene A is 1554 bp long, annotated as ""Chromosomal replication initiator protein DnaA"". It is followed by Gene B, 1185 bp long, annotated as ""DNA polymerase III beta subunit (EC 2.7.7.7)"". The intergenic distance is 716 base pairs. The GC content difference is 3.0%. They are on the same strand. ",0
196627,196627.14.peg.2,196627.14.peg.3,"Gene A is 1185 bp long, annotated as ""DNA polymerase III beta subunit (EC 2.7.7.7)"". It is followed by Gene B, 1185 bp long, annotated as ""DNA recombination and repair protein RecF"". The intergenic distance is 108 base pairs. The GC content difference is 1.0%. They are on the same strand. ",1
196627,196627.14.peg.3,196627.14.peg.4,"Gene A is 1185 bp long, annotated as ""DNA recombination and repair protein RecF"". It is followed by Gene B, 537 bp long, annotated as ""Zn-ribbon-containing, possibly RNA-binding protein and truncated derivatives"". The intergenic distance is -4 base pairs. The GC content difference is 1.0%. They are on the same strand. ",1
196627,196627.14.peg.4,196627.14.peg.5,"Gene A is 537 bp long, annotated as ""Zn-ribbon-containing, possibly RNA-binding protein and truncated derivatives"". It is followed by Gene B, 2055 bp long, annotated as ""DNA gyrase subunit B (EC 5.99.1.3)"". The intergenic distance is 132 base pairs. The GC content difference is 1.0%. They are on the same strand. ",1
196627,196627.14.peg.5,196627.14.peg.6,"Gene A is 2055 bp long, annotated as ""DNA gyrase subunit B (EC 5.99.1.3)"". It is followed by Gene B, 969 bp long, annotated as ""predicted hydrolase or acyltransferase"". The intergenic distance is 340 base pairs. The GC content difference is 5.0%. They are on the same strand. ",0
196627,196627.14.peg.6,196627.14.peg.7,"Gene A is 969 bp long, annotated as ""predicted hydrolase or acyltransferase"". It is followed by Gene B, 582 bp long, annotated as ""putative membrane protein"". The intergenic distance is -4 base pairs. The GC content difference is 2.0%. They are on the different strands. ",0
196627,196627.14.peg.7,196627.14.peg.8,"Gene A is 582 bp long, annotated as ""putative membrane protein"". It is followed by Gene B, 387 bp long, annotated as ""hypothetical protein"". The intergenic distance is 94 base pairs. The GC content difference is 7.0%. They are on the same strand. ",1
196627,196627.14.peg.8,196627.14.peg.9,"Gene A is 387 bp long, annotated as ""hypothetical protein"". It is followed by Gene B, 921 bp long, annotated as ""Transcriptional regulator"". The intergenic distance is 246 base pairs. The GC content difference is 3.0%. They are on the same strand. ",0
196627,196627.14.peg.9,196627.14.peg.10,"Gene A is 921 bp long, annotated as ""Transcriptional regulator"". It is followed by Gene B, 264 bp long, annotated as ""Death on curing protein, Doc toxin"". The intergenic distance is 235 base pairs. The GC content difference is 4.0%. They are on the same strand. ",0
196627,196627.14.peg.12,196627.14.peg.13,"Gene A is 2571 bp long, annotated as ""DNA gyrase subunit A (EC 5.99.1.3)"". It is followed by Gene B, 345 bp long, annotated as ""FIG187021: hypothetical protein"". The intergenic distance is 3 base pairs. The GC content difference is 7.0%. They are on the same strand. ",1
