genome_id	genome_name	accession	annotation	feature_type	patric_id	refseq_locus_tag	start	end	strand	na_length	gene	product	plfam_id	pgfam_id
511145.12	Escherichia coli str. K-12 substr. MG1655	NC_000913	PATRIC	source			1	4639675	+	4639675				
511145.12	Escherichia coli str. K-12 substr. MG1655	NC_000913	PATRIC	CDS	fig|511145.12.peg.1	b0002	343	2799	+	2457	thrA	Aspartokinase (EC 2.7.2.4) / Homoserine dehydrogenase (EC 1.1.1.3)	PLF_561_00000844	PGF_04992191
511145.12	Escherichia coli str. K-12 substr. MG1655	NC_000913	PATRIC	CDS	fig|511145.12.peg.2	b0003	2801	3733	+	933	thrB	Homoserine kinase (EC 2.7.1.39)	PLF_561_00003088	PGF_00012356
511145.12	Escherichia coli str. K-12 substr. MG1655	NC_000913	PATRIC	CDS	fig|511145.12.peg.3	b0004	3734	5020	+	1287	thrC	Threonine synthase (EC 4.2.3.1)	PLF_561_00001305	PGF_03316046
511145.12	Escherichia coli str. K-12 substr. MG1655	NC_000913	PATRIC	CDS	fig|511145.12.peg.4	b0005	5288	5530	+	243	yaaX	Uncharacterized protein YaaX	PLF_561_00004160	PGF_00065383
511145.12	Escherichia coli str. K-12 substr. MG1655	NC_000913	PATRIC	CDS	fig|511145.12.peg.5	b0006	5683	6459	-	777	yaaA	UPF0246 protein YaaA	PLF_561_00002041	PGF_00064270
511145.12	Escherichia coli str. K-12 substr. MG1655	NC_000913	PATRIC	CDS	fig|511145.12.peg.6	b0007	6529	7959	-	1431	yaaJ	Putative alanine/glycine transport protein	PLF_561_00000863	PGF_00040088
511145.12	Escherichia coli str. K-12 substr. MG1655	NC_000913	PATRIC	CDS	fig|511145.12.peg.7	b0008	8307	9191	+	885	talB	Transaldolase (EC 2.2.1.2)	PLF_561_00002139	PGF_00057399
511145.12	Escherichia coli str. K-12 substr. MG1655	NC_000913	PATRIC	CDS	fig|511145.12.peg.8	b0009	9306	9893	+	588	mog	Molybdopterin adenylyltransferase (EC 2.7.7.75)	PLF_561_00002926	PGF_00022507
511145.12	Escherichia coli str. K-12 substr. MG1655	NC_000913	PATRIC	CDS	fig|511145.12.peg.9	b0010	9928	10494	-	567	yaaH	Succinate-acetate/proton symporter SatP	PLF_561_00002858	PGF_00043742
511145.12	Escherichia coli str. K-12 substr. MG1655	NC_000913	PATRIC	CDS	fig|511145.12.peg.10	b0011	10643	11356	-	714	yaaW	UPF0174 protein YaaW	PLF_561_00000690	PGF_00064226
511145.12	Escherichia coli str. K-12 substr. MG1655	NC_000913	PATRIC	CDS	fig|511145.12.peg.11	b0013	11382	11786	-	405	yaaI	UPF0412 protein YaaI	PLF_561_00003145	PGF_00064366
511145.12	Escherichia coli str. K-12 substr. MG1655	NC_000913	PATRIC	CDS	fig|511145.12.peg.12	b0014	12163	14079	+	1917	dnaK	Chaperone protein DnaK	PLF_561_00001255	PGF_10357457
511145.12	Escherichia coli str. K-12 substr. MG1655	NC_000913	PATRIC	CDS	fig|511145.12.peg.13	b0015	14168	15298	+	1131	dnaJ	Chaperone protein DnaJ	PLF_561_00001603	PGF_10301134
511145.12	Escherichia coli str. K-12 substr. MG1655	NC_000913	PATRIC	CDS	fig|511145.12.peg.14	b0016	15445	16557	+	1113	insL	Transposase InsL for insertion sequence element IS186	PLF_561_00000084	PGF_04599657
511145.12	Escherichia coli str. K-12 substr. MG1655	NC_000913	PATRIC	CDS	fig|511145.12.peg.15	b4412	16751	16993	-	243	hokC	hypothetical protein	PLF_561_00054095	PGF_07705084
511145.12	Escherichia coli str. K-12 substr. MG1655	NC_000913	PATRIC	CDS	fig|511145.12.peg.16	b0019	17489	18655	+	1167	nhaA	Na+/H+ antiporter NhaA type	PLF_561_00001015	PGF_06945838
511145.12	Escherichia coli str. K-12 substr. MG1655	NC_000913	PATRIC	CDS	fig|511145.12.peg.17	b0020	18715	19620	+	906	nhaR	Transcriptional activator NhaR	PLF_561_00002235	PGF_00057513
511145.12	Escherichia coli str. K-12 substr. MG1655	NC_000913	PATRIC	CDS	fig|511145.12.peg.18	b0021	19811	20188	-	378	insB	IS1 protein InsB	PLF_561_00000001	PGF_06495825
511145.12	Escherichia coli str. K-12 substr. MG1655	NC_000913	PATRIC	CDS	fig|511145.12.peg.19	b0022	20233	20460	-	228	insA	IS1 protein InsA	PLF_561_00028965	PGF_03145724
511145.12	Escherichia coli str. K-12 substr. MG1655	NC_000913	PATRIC	CDS	fig|511145.12.peg.20	b0023	20815	21000	-	186	rpsT	SSU ribosomal protein S20p	PLF_561_00002225	PGF_02454577
511145.12	Escherichia coli str. K-12 substr. MG1655	NC_000913	PATRIC	CDS	fig|511145.12.peg.21	b0024	21181	21399	+	219	yaaY	Uncharacterized protein YaaY	PLF_561_00009479	PGF_03308125
511145.12	Escherichia coli str. K-12 substr. MG1655	NC_000913	PATRIC	CDS	fig|511145.12.peg.22	b0025	21461	22348	+	888	ribF	FMN adenylyltransferase (EC 2.7.7.2) / Riboflavin kinase (EC 2.7.1.26)	PLF_561_00002085	PGF_02623406
511145.12	Escherichia coli str. K-12 substr. MG1655	NC_000913	PATRIC	CDS	fig|511145.12.peg.23	b0026	22391	25207	+	2817	ileS	Isoleucyl-tRNA synthetase (EC 6.1.1.5)	PLF_561_00000819	PGF_05171623
511145.12	Escherichia coli str. K-12 substr. MG1655	NC_000913	PATRIC	CDS	fig|511145.12.peg.24	b0027	25207	25701	+	495	lspA	Lipoprotein signal peptidase (EC 3.4.23.36)	PLF_561_00002411	PGF_10049472
