,tag,gene_length
0,169963.11.peg.1,1356
1,169963.11.peg.2,1146
2,169963.11.peg.3,1344
3,169963.11.peg.4,237
4,169963.11.peg.5,1113
5,169963.11.peg.6,1941
6,169963.11.peg.7,2529
7,169963.11.peg.8,1515
8,169963.11.peg.9,519
9,169963.11.peg.10,117
10,169963.11.peg.11,969
11,169963.11.peg.12,972
12,169963.11.peg.13,1080
13,169963.11.peg.14,1107
14,169963.11.peg.15,1980
15,169963.11.peg.16,612
16,169963.11.peg.17,333
17,169963.11.peg.18,1119
18,169963.11.peg.19,1434
19,169963.11.peg.20,822
20,169963.11.peg.21,741
21,169963.11.peg.22,402
22,169963.11.peg.23,489
23,169963.11.peg.24,804
24,169963.11.peg.25,705
25,169963.11.peg.26,705
26,169963.11.peg.27,645
27,169963.11.peg.28,1905
28,169963.11.peg.29,876
29,169963.11.peg.30,339
30,169963.11.peg.31,810
31,169963.11.peg.32,1056
32,169963.11.peg.33,966
33,169963.11.peg.34,2403
34,169963.11.peg.35,1353
35,169963.11.peg.36,1086
36,169963.11.peg.37,1026
37,169963.11.peg.38,1386
38,169963.11.peg.39,1092
39,169963.11.peg.40,942
40,169963.11.peg.41,1110
41,169963.11.peg.42,780
42,169963.11.peg.43,660
43,169963.11.peg.44,1233
44,169963.11.peg.45,294
45,169963.11.peg.46,537
46,169963.11.peg.47,240
47,169963.11.peg.48,612
48,169963.11.peg.49,615
49,169963.11.peg.50,162
50,169963.11.peg.51,1296
51,169963.11.peg.52,729
52,169963.11.peg.53,1974
53,169963.11.peg.54,447
54,169963.11.peg.55,1353
55,169963.11.peg.56,150
56,169963.11.peg.57,1293
57,169963.11.peg.58,177
58,169963.11.peg.59,294
59,169963.11.peg.60,3207
60,169963.11.peg.61,516
61,169963.11.peg.62,252
62,169963.11.peg.63,1197
63,169963.11.peg.64,4497
64,169963.11.peg.65,396
65,169963.11.peg.66,300
66,169963.11.peg.67,702
67,169963.11.peg.68,333
68,169963.11.peg.69,1815
69,169963.11.peg.70,990
70,169963.11.peg.71,324
71,169963.11.peg.72,294
72,169963.11.peg.73,723
73,169963.11.peg.74,258
74,169963.11.peg.75,204
75,169963.11.peg.76,285
76,169963.11.peg.77,153
77,169963.11.peg.78,774
78,169963.11.peg.79,1053
79,169963.11.peg.80,639
80,169963.11.peg.81,957
81,169963.11.rna.1,73
82,169963.11.peg.82,1479
83,169963.11.peg.83,399
84,169963.11.peg.84,603
85,169963.11.peg.85,327
86,169963.11.peg.86,369
87,169963.11.peg.87,984
88,169963.11.peg.88,690
89,169963.11.peg.89,5880
90,169963.11.peg.90,2307
91,169963.11.peg.91,243
92,169963.11.peg.92,1032
93,169963.11.peg.93,1497
94,169963.11.peg.94,870
95,169963.11.peg.95,1371
96,169963.11.peg.96,324
97,169963.11.peg.97,561
98,169963.11.peg.98,633
99,169963.11.peg.99,966
100,169963.11.peg.100,807
101,169963.11.peg.101,912
102,169963.11.peg.102,390
103,169963.11.peg.103,351
104,169963.11.peg.104,294
