peg1,peg2,string
169963.11.peg.1038,169963.11.peg.1039,790
169963.11.peg.1039,169963.11.peg.1040,871
169963.11.peg.1042,169963.11.peg.1043,999
169963.11.peg.1043,169963.11.peg.1044,999
169963.11.peg.1046,169963.11.peg.1047,606
169963.11.peg.1047,169963.11.peg.1048,526
169963.11.peg.1048,169963.11.peg.1049,994
169963.11.peg.1049,169963.11.peg.1050,999
169963.11.peg.1050,169963.11.peg.1051,809
169963.11.peg.1052,169963.11.peg.1053,853
169963.11.peg.1055,169963.11.peg.1056,862
169963.11.peg.1060,169963.11.peg.1061,950
169963.11.peg.1061,169963.11.peg.1062,998
169963.11.peg.1062,169963.11.peg.1063,855
169963.11.peg.1063,169963.11.peg.1064,958
169963.11.peg.1064,169963.11.peg.1065,936
169963.11.peg.1067,169963.11.peg.1068,856
169963.11.peg.1068,169963.11.peg.1069,987
169963.11.peg.1070,169963.11.peg.1071,949
169963.11.peg.1071,169963.11.peg.1072,998
169963.11.peg.1072,169963.11.peg.1073,973
169963.11.peg.1073,169963.11.peg.1074,998
169963.11.peg.1074,169963.11.peg.1075,923
169963.11.peg.1075,169963.11.peg.1076,999
169963.11.peg.1077,169963.11.peg.1078,969
169963.11.peg.1081,169963.11.peg.1082,999
169963.11.peg.1082,169963.11.peg.1083,999
169963.11.peg.1083,169963.11.peg.1084,999
169963.11.peg.1087,169963.11.peg.1088,851
169963.11.peg.1088,169963.11.peg.1089,778
169963.11.peg.1090,169963.11.peg.1091,901
169963.11.peg.1094,169963.11.peg.1095,468
169963.11.peg.1104,169963.11.peg.1105,996
169963.11.peg.1110,169963.11.peg.1111,941
169963.11.peg.1111,169963.11.peg.1112,998
169963.11.peg.1112,169963.11.peg.1113,998
169963.11.peg.1113,169963.11.peg.1114,999
169963.11.peg.1118,169963.11.peg.1119,995
169963.11.peg.1119,169963.11.peg.1120,831
169963.11.peg.1120,169963.11.peg.1121,873
169963.11.peg.1122,169963.11.peg.1123,969
169963.11.peg.1123,169963.11.peg.1124,821
169963.11.peg.1142,169963.11.peg.1143,969
169963.11.peg.1145,169963.11.peg.1146,881
169963.11.peg.1147,169963.11.peg.1148,937
169963.11.peg.1158,169963.11.peg.1159,959
169963.11.peg.1159,169963.11.peg.1160,915
169963.11.peg.1164,169963.11.peg.1165,778
169963.11.peg.1200,169963.11.peg.1201,997
169963.11.peg.1203,169963.11.peg.1204,995
169963.11.peg.1205,169963.11.peg.1206,999
169963.11.peg.1206,169963.11.peg.1207,999
169963.11.peg.1207,169963.11.peg.1208,978
169963.11.peg.1208,169963.11.peg.1209,913
169963.11.peg.1209,169963.11.peg.1210,910
169963.11.peg.1210,169963.11.peg.1211,857
169963.11.peg.1211,169963.11.peg.1212,525
169963.11.peg.1212,169963.11.peg.1213,860
169963.11.peg.1213,169963.11.peg.1214,874
169963.11.peg.1214,169963.11.peg.1215,824
169963.11.peg.1215,169963.11.peg.1216,935
169963.11.peg.1216,169963.11.peg.1217,855
169963.11.peg.1217,169963.11.peg.1218,985
169963.11.peg.1241,169963.11.peg.1242,964
169963.11.peg.1248,169963.11.peg.1249,761
169963.11.peg.1252,169963.11.peg.1253,999
169963.11.peg.1353,169963.11.peg.1354,899
169963.11.peg.1354,169963.11.peg.1355,891
169963.11.peg.1355,169963.11.peg.1356,826
169963.11.peg.1356,169963.11.peg.1357,728
169963.11.peg.1357,169963.11.peg.1358,759
169963.11.peg.1358,169963.11.peg.1359,993
169963.11.peg.1359,169963.11.peg.1360,902
169963.11.peg.1360,169963.11.peg.1361,952
169963.11.peg.1361,169963.11.peg.1362,947
169963.11.peg.1362,169963.11.peg.1363,897
169963.11.peg.1363,169963.11.peg.1364,869
169963.11.peg.1365,169963.11.peg.1366,959
169963.11.peg.136,169963.11.peg.137,998
169963.11.peg.1370,169963.11.peg.1371,744
169963.11.peg.1374,169963.11.peg.1375,901
169963.11.peg.1375,169963.11.peg.1376,847
169963.11.peg.1376,169963.11.peg.1377,547
169963.11.peg.1385,169963.11.peg.1386,999
169963.11.peg.1386,169963.11.peg.1387,999
169963.11.peg.1388,169963.11.peg.1389,652
169963.11.peg.1389,169963.11.peg.1390,831
169963.11.peg.138,169963.11.peg.139,996
169963.11.peg.1391,169963.11.peg.1392,774
169963.11.peg.1393,169963.11.peg.1394,999
169963.11.peg.1394,169963.11.peg.1395,897
169963.11.peg.1395,169963.11.peg.1396,833
169963.11.peg.1396,169963.11.peg.1397,938
169963.11.peg.1397,169963.11.peg.1398,885
169963.11.peg.1398,169963.11.peg.1399,999
169963.11.peg.1399,169963.11.peg.1400,996
169963.11.peg.139,169963.11.peg.140,999
169963.11.peg.1402,169963.11.peg.1403,897
169963.11.peg.1404,169963.11.peg.1405,869
169963.11.peg.1406,169963.11.peg.1407,999
169963.11.peg.1407,169963.11.peg.1408,889
169963.11.peg.1408,169963.11.peg.1409,995
169963.11.peg.1409,169963.11.peg.1410,999
169963.11.peg.1410,169963.11.peg.1411,999
169963.11.peg.1415,169963.11.peg.1416,998
169963.11.peg.1417,169963.11.peg.1418,727
169963.11.peg.1418,169963.11.peg.1419,600
169963.11.peg.1420,169963.11.peg.1421,749
169963.11.peg.1423,169963.11.peg.1424,508
169963.11.peg.1430,169963.11.peg.1431,980
169963.11.peg.1432,169963.11.peg.1433,790
169963.11.peg.1433,169963.11.peg.1434,768
169963.11.peg.1434,169963.11.peg.1435,893
169963.11.peg.1439,169963.11.peg.1440,851
169963.11.peg.1440,169963.11.peg.1441,869
169963.11.peg.1442,169963.11.peg.1443,997
169963.11.peg.1443,169963.11.peg.1444,828
169963.11.peg.1445,169963.11.peg.1446,987
169963.11.peg.1449,169963.11.peg.1450,808
169963.11.peg.1450,169963.11.peg.1451,711
169963.11.peg.1455,169963.11.peg.1456,633
169963.11.peg.1456,169963.11.peg.1457,937
169963.11.peg.1457,169963.11.peg.1458,647
169963.11.peg.1458,169963.11.peg.1459,818
169963.11.peg.1460,169963.11.peg.1461,999
169963.11.peg.1462,169963.11.peg.1463,523
169963.11.peg.1464,169963.11.peg.1465,999
169963.11.peg.1465,169963.11.peg.1466,999
169963.11.peg.1466,169963.11.peg.1467,997
169963.11.peg.1473,169963.11.peg.1474,831
169963.11.peg.1474,169963.11.peg.1475,946
169963.11.peg.1475,169963.11.peg.1476,998
169963.11.peg.1480,169963.11.peg.1481,723
169963.11.peg.1481,169963.11.peg.1482,983
169963.11.peg.1487,169963.11.peg.1488,816
169963.11.peg.1488,169963.11.peg.1489,896
169963.11.peg.1491,169963.11.peg.1492,905
169963.11.peg.1494,169963.11.peg.1495,873
169963.11.peg.1495,169963.11.peg.1496,571
169963.11.peg.1496,169963.11.peg.1497,758
169963.11.peg.1497,169963.11.peg.1498,999
169963.11.peg.1501,169963.11.peg.1502,979
169963.11.peg.1502,169963.11.peg.1503,852
169963.11.peg.1503,169963.11.peg.1504,983
169963.11.peg.1504,169963.11.peg.1505,914
169963.11.peg.1505,169963.11.peg.1506,901
169963.11.peg.1508,169963.11.peg.1509,883
169963.11.peg.1510,169963.11.peg.1511,978
169963.11.peg.1511,169963.11.peg.1512,999
169963.11.peg.1512,169963.11.peg.1513,998
169963.11.peg.1513,169963.11.peg.1514,999
169963.11.peg.1514,169963.11.peg.1515,998
169963.11.peg.1527,169963.11.peg.1528,989
169963.11.peg.1528,169963.11.peg.1529,877
169963.11.peg.1529,169963.11.peg.1530,855
169963.11.peg.1530,169963.11.peg.1531,852
169963.11.peg.1531,169963.11.peg.1532,923
169963.11.peg.1534,169963.11.peg.1535,756
169963.11.peg.1535,169963.11.peg.1536,754
169963.11.peg.1538,169963.11.peg.1539,905
169963.11.peg.1539,169963.11.peg.1540,754
169963.11.peg.1542,169963.11.peg.1543,878
169963.11.peg.1543,169963.11.peg.1544,924
169963.11.peg.1548,169963.11.peg.1549,988
169963.11.peg.1603,169963.11.peg.1604,802
169963.11.peg.1604,169963.11.peg.1605,990
169963.11.peg.1605,169963.11.peg.1606,978
169963.11.peg.1607,169963.11.peg.1608,994
169963.11.peg.1608,169963.11.peg.1609,911
169963.11.peg.1609,169963.11.peg.1610,887
169963.11.peg.160,169963.11.peg.161,695
169963.11.peg.1613,169963.11.peg.1614,999
169963.11.peg.1616,169963.11.peg.1617,863
169963.11.peg.1617,169963.11.peg.1618,849
169963.11.peg.1625,169963.11.peg.1626,775
169963.11.peg.1626,169963.11.peg.1627,966
169963.11.peg.1629,169963.11.peg.1630,951
169963.11.peg.1630,169963.11.peg.1631,999
169963.11.peg.1631,169963.11.peg.1632,999
169963.11.peg.1632,169963.11.peg.1633,992
169963.11.peg.1634,169963.11.peg.1635,994
169963.11.peg.1644,169963.11.peg.1645,962
169963.11.peg.1648,169963.11.peg.1649,665
169963.11.peg.1658,169963.11.peg.1659,897
169963.11.peg.165,169963.11.peg.166,901
169963.11.peg.1660,169963.11.peg.1661,882
169963.11.peg.1662,169963.11.peg.1663,734
169963.11.peg.1663,169963.11.peg.1664,686
169963.11.peg.1666,169963.11.peg.1667,853
169963.11.peg.1668,169963.11.peg.1669,602
169963.11.peg.166,169963.11.peg.167,888
169963.11.peg.1670,169963.11.peg.1671,999
169963.11.peg.1671,169963.11.peg.1672,999
169963.11.peg.1672,169963.11.peg.1673,999
169963.11.peg.1673,169963.11.peg.1674,999
169963.11.peg.1674,169963.11.peg.1675,999
169963.11.peg.1675,169963.11.peg.1676,999
169963.11.peg.167,169963.11.peg.168,809
169963.11.peg.1681,169963.11.peg.1682,850
169963.11.peg.1682,169963.11.peg.1683,831
169963.11.peg.1685,169963.11.peg.1686,774
169963.11.peg.1686,169963.11.peg.1687,850
169963.11.peg.168,169963.11.peg.169,975
169963.11.peg.1691,169963.11.peg.1692,489
169963.11.peg.1692,169963.11.peg.1693,489
169963.11.peg.1693,169963.11.peg.1694,610
169963.11.peg.1694,169963.11.peg.1695,975
169963.11.peg.1696,169963.11.peg.1697,821
169963.11.peg.169,169963.11.peg.170,897
169963.11.peg.1700,169963.11.peg.1701,999
169963.11.peg.1704,169963.11.peg.1705,877
169963.11.peg.1709,169963.11.peg.1710,699
169963.11.peg.1710,169963.11.peg.1711,934
169963.11.peg.1711,169963.11.peg.1712,938
169963.11.peg.1715,169963.11.peg.1716,999
169963.11.peg.1716,169963.11.peg.1717,989
169963.11.peg.1717,169963.11.peg.1718,999
169963.11.peg.1718,169963.11.peg.1719,999
169963.11.peg.1721,169963.11.peg.1722,997
169963.11.peg.1722,169963.11.peg.1723,985
169963.11.peg.1723,169963.11.peg.1724,982
169963.11.peg.1728,169963.11.peg.1729,718
169963.11.peg.172,169963.11.peg.173,647
169963.11.peg.1731,169963.11.peg.1732,861
169963.11.peg.1734,169963.11.peg.1735,837
169963.11.peg.1738,169963.11.peg.1739,843
169963.11.peg.1742,169963.11.peg.1743,869
169963.11.peg.1744,169963.11.peg.1745,757
