genome_id	genome_name	accession	annotation	feature_type	patric_id	refseq_locus_tag	alt_locus_tag	uniprotkb_accession	start	end	strand	na_length	gene	product	figfam_id	plfam_id	pgfam_id	go	ec	pathway
297246.15	Legionella pneumophila str. Paris	NC_006365	PATRIC	source					1	131885	+	131885								
297246.15	Legionella pneumophila str. Paris	NC_006365	PATRIC	CDS	fig|297246.15.peg.1	plpp0001	VBILegPne27771_0001	Q5WSE5	66	941	-	876	parB	Chromosome (plasmid) partitioning protein ParB	FIG00021843	PLF_445_00003798	PGF_03475877			
297246.15	Legionella pneumophila str. Paris	NC_006365	PATRIC	CDS	fig|297246.15.peg.2	plpp0002	VBILegPne27771_0002	Q5WSE4	1297	2505	+	1209		Plasmid replication protein RepA	FIG01304329	PLF_445_00004027	PGF_00699301			
297246.15	Legionella pneumophila str. Paris	NC_006365	PATRIC	CDS	fig|297246.15.peg.3	plpp0003	VBILegPne27771_0003	Q5WSE3	2507	3514	+	1008		ParB-like nuclease domain	FIG01457718	PLF_445_00004114	PGF_02059154			
297246.15	Legionella pneumophila str. Paris	NC_006365	PATRIC	CDS	fig|297246.15.peg.4	plpp0004	VBILegPne27771_0004	Q5WSE2	3564	4841	+	1278		Protein involved in initiation of plasmid replication	FIG00550563	PLF_445_00003654	PGF_00038155			
297246.15	Legionella pneumophila str. Paris	NC_006365	PATRIC	CDS	fig|297246.15.peg.5	plpp0005	VBILegPne27771_0005	Q5WSE1	4992	5558	+	567		Decarboxylase family protein	FIG01057291	PLF_445_00003305	PGF_12788406			
297246.15	Legionella pneumophila str. Paris	NC_006365	PATRIC	CDS	fig|297246.15.peg.6	plpp0006	VBILegPne27771_0006	Q5WSE0	5591	7045	+	1455		Di-tripeptide/cation symporter	FIG00638284	PLF_445_00003404	PGF_02158779			
297246.15	Legionella pneumophila str. Paris	NC_006365	PATRIC	CDS	fig|297246.15.peg.7	plpp0007	VBILegPne27771_0007	Q5WSD9	7047	8069	-	1023		hypothetical protein	FIG00761184	PLF_445_00003678	PGF_02877973			
297246.15	Legionella pneumophila str. Paris	NC_006365	PATRIC	CDS	fig|297246.15.peg.8	plpp0008	VBILegPne27771_0008	Q5WSD8	8091	8285	-	195		hypothetical protein	FIG00638284	PLF_445_00003702	PGF_02069903			
297246.15	Legionella pneumophila str. Paris	NC_006365	PATRIC	CDS	fig|297246.15.peg.9		VBILegPne27771_0009		8286	8420	-	135		hypothetical protein		PLF_445_00007174	PGF_02072142			
297246.15	Legionella pneumophila str. Paris	NC_006365	PATRIC	CDS	fig|297246.15.peg.10	plpp0009	VBILegPne27771_0010	Q5WSD7	8469	9731	+	1263		hypothetical protein	FIG00759616	PLF_445_00003235	PGF_02069647			
297246.15	Legionella pneumophila str. Paris	NC_006365	PATRIC	CDS	fig|297246.15.peg.11	plpp0010	VBILegPne27771_0011	Q5WSD6	9703	10866	+	1164		hypothetical protein	FIG00761571	PLF_445_00003239	PGF_02069649			
