tag,gc_ratio
169963.11.peg.1,0.369469027    
169963.11.peg.2,0.343804538
169963.11.peg.3,0.394345238
169963.11.peg.4,0.396624473
169963.11.peg.5,0.397124888
169963.11.peg.6,0.402369912
169963.11.peg.7,0.398971926
169963.11.peg.8,0.389438944
169963.11.peg.9,0.341040462
169963.11.peg.10,0.316239316
169963.11.peg.11,0.386996904
169963.11.peg.12,0.400205761
169963.11.peg.13,0.39537037
169963.11.peg.14,0.383920506
169963.11.peg.15,0.407070707
169963.11.peg.16,0.383986928
169963.11.peg.17,0.378378378
169963.11.peg.18,0.358355675
169963.11.peg.19,0.39609484
169963.11.peg.20,0.389294404
169963.11.peg.21,0.318488529
169963.11.peg.22,0.39800995
169963.11.peg.23,0.372188139
169963.11.peg.24,0.416666667
169963.11.peg.25,0.380141844
169963.11.peg.26,0.405673759
169963.11.peg.27,0.386046512
169963.11.peg.28,0.3832021
169963.11.peg.29,0.364155251
169963.11.peg.30,0.407079646
169963.11.peg.31,0.364197531
169963.11.peg.32,0.371212121
169963.11.peg.33,0.413043478
169963.11.peg.34,0.409904286
169963.11.peg.35,0.388026608
169963.11.peg.36,0.387661142
169963.11.peg.37,0.371345029
169963.11.peg.38,0.370851371
169963.11.peg.39,0.391941392
169963.11.peg.40,0.409766454
169963.11.peg.41,0.39009009
169963.11.peg.42,0.330769231
169963.11.peg.43,0.334848485
169963.11.peg.44,0.384428224
169963.11.peg.45,0.357142857
169963.11.peg.46,0.411545624
169963.11.peg.47,0.395833333
169963.11.peg.48,0.320261438
169963.11.peg.49,0.356097561
169963.11.peg.50,0.290123457
169963.11.peg.51,0.320987654
169963.11.peg.52,0.352537723
169963.11.peg.53,0.425025329
169963.11.peg.54,0.351230425
169963.11.peg.55,0.427937916
169963.11.peg.56,0.306666667
169963.11.peg.57,0.392884764
169963.11.peg.58,0.259887006
169963.11.peg.59,0.380952381
169963.11.peg.60,0.363267852
169963.11.peg.61,0.381782946
169963.11.peg.62,0.333333333
169963.11.peg.63,0.354218881
169963.11.peg.64,0.400044474
169963.11.peg.65,0.345959596
169963.11.peg.66,0.36
169963.11.peg.67,0.353276353
169963.11.peg.68,0.372372372
169963.11.peg.69,0.419834711
169963.11.peg.70,0.325252525
169963.11.peg.71,0.320987654
169963.11.peg.72,0.370748299
169963.11.peg.73,0.273858921
169963.11.peg.74,0.360465116
169963.11.peg.75,0.348039216
169963.11.peg.76,0.301754386
169963.11.peg.77,0.300653595
169963.11.peg.78,0.4625323
169963.11.peg.79,0.413105413
169963.11.peg.80,0.38028169
169963.11.peg.81,0.443051202
169963.11.peg.82,0.371196755
169963.11.peg.83,0.328320802
169963.11.peg.84,0.285240464
169963.11.peg.85,0.318042813
169963.11.peg.86,0.406504065
169963.11.peg.87,0.422764228
169963.11.peg.88,0.311594203
169963.11.peg.89,0.348639456
169963.11.peg.90,0.355006502
169963.11.peg.91,0.423868313
169963.11.peg.92,0.349806202
169963.11.peg.93,0.391449566
169963.11.peg.94,0.381609195
169963.11.peg.95,0.399708242
169963.11.peg.96,0.385802469
169963.11.peg.97,0.349376114
169963.11.peg.98,0.349131122
169963.11.peg.99,0.403726708
169963.11.peg.100,0.429987608
169963.11.peg.101,0.405701754
169963.11.peg.102,0.384615385
169963.11.peg.103,0.356125356
169963.11.peg.104,0.336734694
169963.11.peg.105,0.39862543
169963.11.peg.106,0.399684044
169963.11.peg.107,0.349462366
169963.11.peg.108,0.4108629
169963.11.peg.109,0.395348837
169963.11.peg.110,0.405723906
169963.11.peg.111,0.399311532
169963.11.peg.112,0.377697842
169963.11.peg.113,0.421146953
169963.11.peg.114,0.369901547
169963.11.peg.115,0.36637931
169963.11.peg.116,0.331125828
169963.11.peg.117,0.360119048
169963.11.peg.118,0.347319347
169963.11.peg.119,0.369304556
169963.11.peg.120,0.368956743
169963.11.peg.121,0.421052632
169963.11.peg.122,0.326732673
169963.11.peg.123,0.360493827
169963.11.peg.124,0.402889246
169963.11.peg.125,0.384615385
169963.11.peg.126,0.352682498
169963.11.peg.127,0.373333333
169963.11.peg.128,0.375
169963.11.peg.129,0.4125
169963.11.peg.130,0.376163873
169963.11.peg.131,0.380614657
169963.11.peg.132,0.347050754
169963.11.peg.133,0.424010217
169963.11.peg.134,0.358666667
169963.11.peg.135,0.429423459
169963.11.peg.136,0.431623932
169963.11.peg.137,0.394265233
169963.11.peg.138,0.389206349
169963.11.peg.139,0.40168244
169963.11.peg.140,0.451901566
169963.11.peg.141,0.292517007
169963.11.peg.142,0.407017544
